artists,genres
armin van buuren,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
cosmic gate,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance']"
sick individuals,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']"
genix,"['progressive house', 'progressive trance', 'uplifting trance']"
markus schulz,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance']"
marlo,"['contemporary country', 'modern country pop']"
alexander popov,"['progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
venom one,"['deep uplifting trance', 'progressive uplifting trance']"
eximinds,"['progressive trance', 'russian trance', 'trance', 'uplifting trance']"
simon patterson,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
johnny yono,['progressive uplifting trance']
mitka,[]
foot,[]
michael woods,"['electro house', 'progressive electro house', 'progressive house']"
rodrigo deem,['progressive trance']
solid stone,"['progressive house', 'progressive trance house', 'progressive uplifting trance']"
fisherman & hawkins,"['deep uplifting trance', 'progressive uplifting trance', 'uplifting trance']"
awar,[]
alex m.o.r.p.h.,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
bobina,"['progressive house', 'russian edm', 'russian trance', 'trance', 'uplifting trance']"
johan gielen,"['bubble trance', 'trance', 'uplifting trance']"
driftmoon,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
giuseppe ottaviani,"['italian trance', 'progressive house', 'trance', 'uplifting trance']"
aly & fila,"['progressive house', 'trance', 'uplifting trance']"
kinã©tica,['Unknown']
allen watts,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
sean tyas,"['progressive house', 'progressive trance', 'tech trance', 'trance', 'uplifting trance']"
alex di stefano,['italian techno']
prism,"['binaural', 'healing hz']"
dj jan,"['french jazz', 'gypsy jazz', 'jazz', 'jazz guitar', 'swing']"
stoneface & terminal,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
ruben de ronde,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
lost frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']"
talemono,[]
drym,"['progressive trance', 'trance', 'uplifting trance']"
dash berlin,"['big room', 'dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance', 'uplifting trance']"
heatbeat,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
andrew rayel,"['dutch house', 'edm', 'moldovan pop', 'progressive house', 'trance']"
dennis sheperd,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'tech trance', 'trance', 'uplifting trance']"
aurosonic,"['russian trance', 'trance']"
photographer,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'russian trance', 'trance', 'uplifting trance']"
dan stone,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
sam jones,[]
smooth mcgroove,"['pixel', 'rhythm game']"
starbomb,"['antiviral pop', 'comic', 'pixel']"
celldweller,"['future rock', 'industrial metal', 'industrial rock']"
scandroid,"['cyberpunk', 'darksynth', 'synthwave']"
savlonic,['meme']
pendulum,"['australian dance', 'dancefloor dnb', 'drum and bass']"
wolfgang gartner,"['complextro', 'edm', 'electro house', 'house', 'progressive electro house']"
linkin park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
thirty seconds to mars,"['modern rock', 'post-grunge']"
infected mushroom,['psychedelic trance']
arty,"['big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm']"
illitheas,"['progressive uplifting trance', 'uplifting trance']"
yiruma,"['korean instrumental', 'neo-classical', 'new age piano']"
chihei hatakeyama,"['ambient', 'drift', 'drone', 'experimental ambient', 'j-ambient']"
brian eno,"['abstract', 'ambient', 'art pop', 'art rock', 'compositional ambient', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism', 'singer-songwriter']"
harold budd,"['ambient', 'american contemporary classical', 'compositional ambient', 'drone', 'fourth world', 'minimalism']"
brian mcbride,"['ambient', 'compositional ambient', 'drift', 'drone', 'nu age']"
spa & spa,['sleep']
deep sleep,['sleep']
calm music for studying,[]
fatal brightness alex,[]
ãlafur arnalds,['Unknown']
mim0sa,"['glitch hop', 'halftime dnb', 'purple sound']"
deadmau5,"['canadian electronic', 'complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
rãfãs du sol,['Unknown']
alan fitzpatrick,"['deep minimal techno', 'house', 'minimal techno', 'techno']"
mikvh,[]
as i am,['deep groove house']
nora en pure,"['deep house', 'electra', 'house', 'melodic house', 'progressive house', 'swiss pop']"
zhu,"['edm', 'electro house']"
ilan bluestone,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
ferry corsten,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
chris bekker,['german trance']
above & beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
alan walker,['electro house']
chase & status,"['dancefloor dnb', 'drum and bass', 'uk dance']"
pierce fulton,"['complextro', 'pop edm', 'progressive electro house']"
santey,[]
riccardo eberspacher,"['chill lounge', 'world chill']"
sade,[]
ãã«ã¢ã¦ã ã¸ã£ãºå«è¶,['dance pop']
the korvids,[]
margot,"['indy indie', 'stomp and holler']"
gabriel ananda,"['german house', 'german techno', 'minimal techno']"
louis kolben,[]
dmitry molosh,"['belarusian electronic', 'dark progressive house', 'deep progressive house', 'focus trance', 'organic house']"
roman messer,"['progressive uplifting trance', 'russian trance']"
dmitry lomakin,[]
alpha duo,[]
ark planet,[]
feel,[]
bryan kearney,"['trance', 'uplifting trance']"
gareth emery,"['edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance']"
alex leavon,['progressive trance']
ben gold,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
tritonal,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance']"
alex sonata,['progressive trance']
breathe carolina,"['electropowerpop', 'neon pop punk', 'trancecore']"
ronski speed,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
delerium,['gregorian dance']
boom jinx,"['progressive house', 'progressive trance', 'uplifting trance']"
ltn,[]
illenium,"['edm', 'melodic dubstep', 'pop dance']"
fatum,"['progressive house', 'progressive trance']"
shogun,"['progressive house', 'trance', 'uplifting trance']"
matvey emerson,['groove room']
jericho frequency,[]
kyau & albert,"['german techno', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
ashley wallbridge,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
liuck,['italian trance']
same k,"['old school rap francais', 'r&b francais']"
estiva,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
jason ross,"['dubstep', 'melodic dubstep', 'pop edm', 'progressive house', 'progressive trance']"
borgeous,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
andrew bayer,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
mark sixma,"['dutch trance', 'progressive electro house', 'progressive house', 'trance', 'uplifting trance']"
tommy johnson,"['delta blues', 'traditional blues']"
ana criado,"['progressive uplifting trance', 'trance', 'uplifting trance', 'vocal trance']"
michael l.,['modern country pop']
saad ayub,[]
reunify,['sky room']
denis kenzo,"['progressive house', 'progressive trance', 'russian edm', 'russian trance', 'trance', 'uplifting trance']"
headstrong,['punk cover']
luke bond,"['deep uplifting trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
danny chen,[]
khomha,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
carl nunes,[]
jase thirlwall,[]
masters & nickson,[]
chicane,['trance']
david gravell,"['deep uplifting trance', 'progressive house', 'progressive uplifting trance', 'trance', 'uplifting trance']"
jerome isma-ae,"['munich electronic', 'progressive house']"
naian,[]
joonas hahmo,"['finnish edm', 'progressive trance']"
ahmed romel,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
moby,"['downtempo', 'electronica']"
attila syah,"['progressive trance', 'progressive uplifting trance']"
mino safy,['progressive uplifting trance']
robert nickson,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
daniel kandi,"['danish electronic', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
reorder,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
jorn van deynhoven,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
omnia,"['hurdy-gurdy', 'medieval folk', 'rune folk']"
talla 2xlc,"['bubble trance', 'frankfurt electronic', 'german techno', 'trance', 'uplifting trance']"
super8 & tab,"['finnish edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
aimoon,[]
mike foyle,"['deep uplifting trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
myon,[]
rodg,['disco']
willem de roo,['progressive uplifting trance']
mohamed ragab,[]
assaf,['musica cristiana guatemalteca']
protoculture,"['progressive house', 'progressive trance', 'psychedelic trance', 'trance', 'uplifting trance']"
snatt & vix,[]
allen & envy,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
ben nicky,['hard trance']
gat decor,"['classic house', 'classic progressive house', 'hardcore techno', 'hip house', 'piano house', 'rave']"
paris blohm,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'sky room']"
kryder,"['dutch house', 'electro house', 'progressive electro house', 'progressive house']"
hardwell,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
robbie rivera,"['circuit', 'house', 'tribal house']"
tiã«sto,[]
nadia ali,['vocal trance']
mat zo,"['complextro', 'edm', 'electro house', 'progressive house']"
yellow claw,"['dutch house', 'edm', 'electro house', 'pop dance']"
sander van doorn,"['dutch house', 'dutch trance', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
w&w,['contemporary country']
morgan page,"['edm', 'electro house', 'pop dance', 'progressive house']"
atb,[]
sunlounger,['trance']
ummet ozcan,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']"
paul oakenfold,['trance']
john o'callaghan,"['progressive house', 'trance', 'uplifting trance']"
string player gamer,['scorecore']
video games live,['video game music']
ace waters,['pixel']
the greatest bits,['scorecore']
the marcus hedges trend orchestra,['scorecore']
daniel tidwell,['scorecore']
good knight productions,['scorecore']
shirobon,['chiptune']
atlas plug,['future rock']
blue stahli,"['cyberpunk', 'future rock']"
she,[]
the anix,"['cyberpunk', 'dubstep product', 'future rock']"
voicians,"['cyberpunk', 'future rock', 'german dnb']"
sldghmr,[]
paul van dyk,"['german techno', 'trance', 'uplifting trance']"
riot games,[]
maison & dragen,['progressive electro house']
matias puumala,['epicore']
lukhash,"['chiptune', 'darksynth']"
matt lange,"['progressive house', 'progressive trance house']"
the crystal method,"['big beat', 'breakbeat', 'electronica']"
nct,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']"
after forever,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']"
the m machine,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']"
fraunhofer diffraction,"['russian electronic', 'russian witch house', 'wave', 'witch house']"
fail emotions,"['electronic djent', 'trancecore']"
receptor,"['color noise', 'white noise']"
sworn,['chillhop']
uppermost,['complextro']
klaypex,"['complextro', 'filthstep']"
icy lust,[]
bloodhound gang,"['alternative metal', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock']"
cygnosic,['aggrotech']
alexis troy,['deep german hip hop']
veracocha,"['dutch trance', 'trance']"
ciprian costin,[]
gareth coker,['video game music']
perturbator,"['cyberpunk', 'darksynth', 'synthwave']"
lindsey stirling,"['bow pop', 'pop violin']"
veela,['chillstep']
petri alanko,['video game music']
league of legends,"['speedrun', 'video game music']"
jon & vangelis,"['art rock', 'progressive rock', 'symphonic rock']"
austin wintory,"['indie game soundtrack', 'orchestral soundtrack', 'video game music']"
culiner,[]
leslie wai,[]
boom boom satellites,"['big beat', 'j-rock']"
case & point,"['complextro', 'gaming edm']"
orkidea,"['finnish edm', 'progressive house', 'trance', 'uplifting trance']"
krewella,"['edm', 'electra', 'electro house', 'pop dance']"
hybrid,"['drum and bass', 'liquid funk']"
bignic,"['ambient fusion', 'chiptune']"
danny baranowsky,"['indie game soundtrack', 'video game music']"
the luna sequence,['future rock']
ninth parallel,[]
kubbi,"['bitpop', 'chiptune']"
nhato,"['j-core', 'japanese progressive house']"
orion,"['alternative r&b', 'bedroom pop']"
death legend,[]
kat krazy,[]
ed harrison,[]
mord fustang,"['complextro', 'electro house']"
nigel stanford,[]
sky sanctuary,['electronic djent']
nine lashes,"['christian alternative rock', 'christian rock']"
phaseone,"['deathstep', 'dubstep', 'filthstep', 'gaming dubstep']"
destiny potato,['djent']
muzz,"['brostep', 'dancefloor dnb', 'gaming edm']"
eric prydz,"['edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
tydi,"['australian dance', 'deep uplifting trance']"
dangerkids,"['nu-metalcore', 'post-screamo']"
sound quelle,"['melodic house', 'progressive trance house']"
audien,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
